id,latitude,longitude,year,name,sex,bottom_depth,surface_temperature,bottom_temperature,haul,cpue
146330,56,-165.2,1975,snow crab,male,93,4.9,1.8,61,3039
146331,56.01667,-164.58333,1975,snow crab,male,90,5.3,0.7,59,4036
146156,55.68333,-164.58333,1975,snow crab,male,91,5.6,2.6,58,2114
146155,55.68333,-165.16667,1975,snow crab,male,104,5,3.1,64,3660
146154,55.68333,-165.76667,1975,snow crab,male,113,5.3,3.3,63,2763
146153,55.66667,-166.4,1975,snow crab,male,123,8.3,3.2,103,3104
146152,55.66667,-166.96667,1975,snow crab,male,132,5.8,4.5,71,2246
146151,55.66667,-167.56667,1975,snow crab,male,132,6.8,3.4,72,1588
146150,55.35,-163.43333,1975,snow crab,male,51,5.2,2,1,17624
146149,55.33333,-163.98333,1975,snow crab,male,73,5.6,3.7,55,1189
146148,55.33333,-164.58333,1975,snow crab,male,99,5.4,2.7,54,5218
146147,55.33333,-165.16667,1975,snow crab,male,108,5,3.4,65,2003
146146,55.33333,-165.78333,1975,snow crab,male,115,5.6,3.5,68,760
146145,55.33333,-166.33333,1975,snow crab,male,130,5.3,3.6,69,727
146144,55.33333,-166.95,1975,snow crab,male,137,5.7,2.8,70,1255
146143,55.33333,-167.55,1975,snow crab,male,144,7.2,3.2,102,69
146142,55,-165.15,1975,snow crab,male,108,5.2,3.9,66,1658
146141,54.98333,-165.73333,1975,snow crab,male,126,5.2,3.2,67,483
147039,57,-165.83333,1975,snow crab,male,70,9,0.7,114,179431
147041,57,-164.58333,1975,snow crab,male,66,9.1,0.9,112,185094
147031,56.68333,-170.1,1975,snow crab,male,93,6,2.7,95,6539
147030,56.66667,-169.48333,1975,snow crab,male,75,3.9,2.7,78,2532
147029,56.66667,-168.88333,1975,snow crab,male,99,4.9,2.9,79,9115
147028,56.66667,-168.3,1975,snow crab,male,102,9,2.2,140,31348
147008,56.31667,-162.8,1975,snow crab,male,77,3.8,1.2,4,2694
147007,56.35,-163.36667,1975,snow crab,male,84,5.6,1,48,6473
147006,56.33333,-163.98333,1975,snow crab,male,84,5.8,2.3,49,13672
147005,56.33333,-164.6,1975,snow crab,male,84,5.3,1,60,5801
147040,57,-165.18333,1975,snow crab,male,68,9.2,0.8,113,324236
147001,56.33333,-167.03333,1975,snow crab,male,112,8.5,3,144,12432
147000,56.33333,-167.65,1975,snow crab,male,126,8.9,3.1,143,12086
146999,55.99167,-168.18333,1975,snow crab,male,146,5.6,2.8,74,1174
146998,56,-162.21667,1975,snow crab,male,70,3.8,2,8,483
146997,55.96667,-162.8,1975,snow crab,male,79,4.7,1,3,2141
146996,56.01667,-163.4,1975,snow crab,male,86,6.4,1.9,51,2510
146995,56.01667,-163.96667,1975,snow crab,male,88,5.8,0.5,50,5152
171038,57.33333,-167.71667,1975,snow crab,female,71,9,1.6,138,345451
157973,57.35,-161.53333,1975,snow crab,male,53,2.3,-0.1,13,264
157974,57.33333,-168.38333,1975,snow crab,male,70,9,1.8,137,31836
157975,57.3,-168.96667,1975,snow crab,male,70,8.6,2.7,134,89893
157976,57.35,-170.83333,1975,snow crab,male,80,6.9,3.1,131,202243
157977,57.35,-171.48333,1975,snow crab,male,97,5.4,1.7,85,16437
157978,57.33333,-172.08333,1975,snow crab,male,106,5.3,1.3,86,18786
171037,57,-172.03333,1975,snow crab,female,113,5.1,1.5,87,16644
171036,57,-171.4,1975,snow crab,female,104,5.5,1.8,84,81901
171035,57,-170.8,1975,snow crab,female,95,5.4,3.3,82,622
171034,57.03333,-170.25,1975,snow crab,female,66,4.2,2,81,1727
171033,57,-169.55,1975,snow crab,female,59,3.4,1.2,80,9531
157979,57.66667,-167.75,1975,snow crab,male,66,8.3,-0.5,121,733811
157980,57.66667,-167.11667,1975,snow crab,male,64,8,0.1,120,332030
157981,57.66667,-162.73333,1975,snow crab,male,44,3.2,0.4,39,12549
171032,56.96667,-168.36667,1975,snow crab,female,80,8.7,1.8,136,8454
171031,57.01667,-163.36667,1975,snow crab,female,64,3.2,0,46,19476
171030,57,-164.01667,1975,snow crab,female,66,9.1,1.7,111,324418
171029,57,-164.58333,1975,snow crab,female,66,9.1,0.9,112,188732
171028,57,-165.18333,1975,snow crab,female,68,9.2,0.8,113,758352
171027,57,-165.83333,1975,snow crab,female,70,9,0.7,114,224318
171026,57,-166.45,1975,snow crab,female,71,9.1,1.1,117,119890
171025,57,-167.08333,1975,snow crab,female,71,8.7,1.4,118,126815
171024,57,-167.68333,1975,snow crab,female,75,8.8,1.6,139,516668
157295,57,-164.01667,1975,snow crab,male,66,9.1,1.7,111,205480
157296,57.01667,-163.36667,1975,snow crab,male,64,3.2,0,46,77491
157297,57,-162.76667,1975,snow crab,male,60,2.5,1.6,41,69
157298,57.01667,-162.15,1975,snow crab,male,60,3.7,0.7,38,15954
157299,57,-161.55,1975,snow crab,male,68,2,-0.1,12,1585
157300,57.03333,-160.95,1975,snow crab,male,62,1.8,-0.1,15,622
157301,56.96667,-168.36667,1975,snow crab,male,80,8.7,1.8,136,21400
157302,57,-168.96667,1975,snow crab,male,75,8.2,2.6,135,123446
157303,57,-169.55,1975,snow crab,male,59,3.4,1.2,80,6009
157304,57.03333,-170.25,1975,snow crab,male,66,4.2,2,81,42820
171023,56.66667,-172.56667,1975,snow crab,female,132,6.1,2.5,89,45961
171022,56.66667,-171.96667,1975,snow crab,female,123,5.7,2.1,90,8564
171021,56.66667,-171.33333,1975,snow crab,female,119,5.7,2.5,91,29422
171020,56.68333,-170.1,1975,snow crab,female,93,6,2.7,95,132
171019,56.66667,-168.88333,1975,snow crab,female,99,4.9,2.9,79,163274
170218,55.66667,-167.56667,1975,snow crab,female,132,6.8,3.4,72,69
157982,57.66667,-168.38333,1975,snow crab,male,68,8,0,122,425622
157983,57.66667,-169.03333,1975,snow crab,male,66,8,-0.5,123,141214
157984,57.66667,-169.65,1975,snow crab,male,70,7.7,-0.7,124,48622
157985,57.66667,-170.28333,1975,snow crab,male,70,8.1,1.7,125,35637
157986,57.66667,-170.9,1975,snow crab,male,82,8,2.5,130,19881
157987,57.63333,-171.58333,1975,snow crab,male,95,7.8,2.3,129,16714
157988,58,-170.31667,1975,snow crab,male,71,8.4,0.5,126,314659
157989,58,-171,1975,snow crab,male,84,8.2,1.1,127,258993
157990,54.66667,-165.13333,1975,snow crab,male,80,4.2,4.2,52,1717
170357,56.65,-162.75,1975,snow crab,female,73,2.5,0.4,5,4491
170359,56.68333,-161,1975,snow crab,female,66,2,0.8,16,138
170360,56.66667,-168.3,1975,snow crab,female,102,9,2.2,140,92406
170213,55.33333,-166.95,1975,snow crab,female,137,5.7,2.8,70,264
170214,55.33333,-166.33333,1975,snow crab,female,130,5.3,3.6,69,66
170215,55.33333,-165.78333,1975,snow crab,female,115,5.6,3.5,68,69
170216,55.33333,-163.98333,1975,snow crab,female,73,5.6,3.7,55,132
170221,55.63333,-168.25,1975,snow crab,female,134,6.8,3,100,1321
157964,57,-170.8,1975,snow crab,male,95,5.4,3.3,82,8426
157965,57,-171.4,1975,snow crab,male,104,5.5,1.8,84,5812
157966,57,-172.03333,1975,snow crab,male,113,5.1,1.5,87,20211
157967,57,-172.66667,1975,snow crab,male,119,6.2,2.4,88,25001
157968,57.33333,-167.71667,1975,snow crab,male,71,9,1.6,138,110765
170223,56,-166.4,1975,snow crab,female,121,9,3.5,104,69
170217,55.35,-163.43333,1975,snow crab,female,51,5.2,2,1,2431
170247,56.66667,-163.4,1975,snow crab,female,73,4.6,0.3,47,19269
170246,56.66667,-163.98333,1975,snow crab,female,71,9.6,1.5,110,231833
171056,58,-171,1975,snow crab,female,84,8.2,1.1,127,53871
171055,58,-170.31667,1975,snow crab,female,71,8.4,0.5,126,872504
171054,57.63333,-171.58333,1975,snow crab,female,95,7.8,2.3,129,1796
171053,57.66667,-170.9,1975,snow crab,female,82,8,2.5,130,525192
171052,57.66667,-170.28333,1975,snow crab,female,70,8.1,1.7,125,36259
171051,57.66667,-169.65,1975,snow crab,female,70,7.7,-0.7,124,168518
171050,57.66667,-169.03333,1975,snow crab,female,66,8,-0.5,123,162440
171049,57.66667,-168.38333,1975,snow crab,female,68,8,0,122,312696
171048,57.66667,-167.11667,1975,snow crab,female,64,8,0.1,120,272784
171047,57.66667,-167.75,1975,snow crab,female,66,8.3,-0.5,121,527068
171046,57.33333,-172.08333,1975,snow crab,female,106,5.3,1.3,86,1450
170245,56.66667,-164.61667,1975,snow crab,female,71,9.2,1.3,109,493814
170244,56.66667,-165.23333,1975,snow crab,female,73,7.9,1.1,108,264197
170243,56.7,-165.86667,1975,snow crab,female,75,9.3,0.8,115,421706
170242,56.66667,-166.41667,1975,snow crab,female,80,9.7,0.7,116,403271
170241,56.66667,-167.7,1975,snow crab,female,101,8.8,1.6,141,2555
170240,56.33333,-170.7,1975,snow crab,female,121,6,2.7,93,78202
170239,56.33333,-170.06667,1975,snow crab,female,106,6.2,3.1,96,66
170238,56.35,-169.43333,1975,snow crab,female,143,5.2,2.7,77,1849
170237,56.33333,-168.88333,1975,snow crab,female,130,5.3,2.7,76,21755
170236,56.33333,-168.23333,1975,snow crab,female,152,5.8,3.1,75,132
170222,56,-167,1975,snow crab,female,130,9,4,145,66
170235,56.31667,-161.6,1975,snow crab,female,62,2.7,1.4,10,276
157969,57.33333,-167.1,1975,snow crab,male,68,8.3,0.5,119,76951
157970,57.35,-163.35,1975,snow crab,male,53,3,-0.2,45,50348
170234,56.31667,-162.8,1975,snow crab,female,77,3.8,1.2,4,6630
170233,56.35,-163.36667,1975,snow crab,female,84,5.6,1,48,9643
170232,56.33333,-163.98333,1975,snow crab,female,84,5.8,2.3,49,16777
170231,56.33333,-164.6,1975,snow crab,female,84,5.3,1,60,553
170230,56.35,-165.23333,1975,snow crab,female,84,7.2,0.5,107,5944
170229,56.35,-165.83333,1975,snow crab,female,88,8.8,1.6,106,4006
170228,56.35,-166.43333,1975,snow crab,female,99,8.3,2.8,105,49528
170227,56.33333,-167.03333,1975,snow crab,female,112,8.5,3,144,69
170226,56.33333,-167.65,1975,snow crab,female,126,8.9,3.1,143,348
170225,56.01667,-163.96667,1975,snow crab,female,88,5.8,0.5,50,132
170220,55.65,-162.86667,1975,snow crab,female,53,4.5,1.6,2,345
170219,55.66667,-166.4,1975,snow crab,female,123,8.3,3.2,103,264
170224,56,-165.2,1975,snow crab,female,93,4.9,1.8,61,414
157971,57.33333,-162.76667,1975,snow crab,male,48,2.9,0.7,40,528
157972,57.35,-162.13333,1975,snow crab,male,49,3,0.9,37,198
171045,57.35,-171.48333,1975,snow crab,female,97,5.4,1.7,85,93652
171044,57.35,-170.83333,1975,snow crab,female,80,6.9,3.1,131,6595
171043,57.3,-168.96667,1975,snow crab,female,70,8.6,2.7,134,127629
171042,57.33333,-168.38333,1975,snow crab,female,70,9,1.8,137,6460
171041,57.33333,-162.76667,1975,snow crab,female,48,2.9,0.7,40,132
171040,57.35,-163.35,1975,snow crab,female,53,3,-0.2,45,5042
171039,57.33333,-167.1,1975,snow crab,female,68,8.3,0.5,119,331911
158183,56.35,-167.65,1976,snow crab,male,128,8.7,2.9,128,15022
158857,56.36667,-169.41667,1976,snow crab,male,137,7.7,3.6,147,138
157991,55.03333,-166.93333,1976,snow crab,male,152,6.7,4.3,130,1215
158858,56.31667,-170.21667,1976,snow crab,male,110,8.3,3.5,138,633
158859,56.33333,-170.66667,1976,snow crab,male,117,8.3,3.6,139,2804
158865,56.68333,-164.6,1976,snow crab,male,73,6.1,-0.1,105,34934
158866,56.68333,-164.01667,1976,snow crab,male,73,5,-1,63,47598
158879,56.68333,-172.56667,1976,snow crab,male,134,8.5,3.6,143,6458
157994,55.01667,-165.15,1976,snow crab,male,106,7,4.9,185,12828
157995,55.36667,-166.35,1976,snow crab,male,128,7.7,3.2,106,2279
157997,55.36667,-165.16667,1976,snow crab,male,110,6.5,3.5,54,1899
157999,55.35,-163.41667,1976,snow crab,male,48,11.1,5.8,174,1105
158000,55.7,-167.56667,1976,snow crab,male,132,8.8,3.3,150,3039
158001,55.7,-166.96667,1976,snow crab,male,132,8.4,3.5,151,1381
158002,55.66667,-166.36667,1976,snow crab,male,124,8.1,3.4,107,1381
158003,55.68333,-165.78333,1976,snow crab,male,113,6.3,3.1,57,1350
158004,55.7,-165.18333,1976,snow crab,male,106,5.4,2.3,53,10635
158007,55.66667,-163.38333,1976,snow crab,male,79,4.3,1,36,5166
158008,55.68333,-162.81667,1976,snow crab,male,53,4.1,1.8,37,2786
158009,55.71667,-168.15,1976,snow crab,male,132,9.2,3.5,149,5739
158010,56,-166.38333,1976,snow crab,male,123,8.1,3,108,2912
158880,57,-167.66667,1976,snow crab,male,79,0.2,-1.4,85,40909
158881,57,-167.03333,1976,snow crab,male,75,-0.4,-1.1,86,16944
158882,57,-166.43333,1976,snow crab,male,75,-0.5,-1.6,87,41950
158883,56.98333,-165.78333,1976,snow crab,male,73,-0.2,-1.6,88,21245
158884,57,-165.16667,1976,snow crab,male,73,0.1,-1.6,89,23163
158885,56.93333,-164.45,1976,snow crab,male,71,0.3,-1.6,90,74766
168736,58.66667,-170.38333,1976,snow crab,female,73,0.5,1.7,143,694574
168734,58.68333,-169.15,1976,snow crab,female,62,1.1,1.7,145,230695
168730,58.7,-167.93333,1976,snow crab,female,46,0.1,-0.3,147,426555
168726,58.35,-171.56667,1976,snow crab,female,95,0.5,-1.7,132,1162
158886,57.01667,-164,1976,snow crab,male,66,5.6,0.3,103,59642
168725,58.35,-170.93333,1976,snow crab,female,84,0.5,-1.7,130,97710
158872,56.68333,-168.26667,1976,snow crab,male,104,7.2,1.9,113,45966
158871,56.66667,-160.98333,1976,snow crab,male,66,2.3,0.5,43,2431
170203,57.66667,-169.56667,1976,snow crab,female,71,1.2,1.7,125,113913
157996,55.35,-165.76667,1976,snow crab,male,115,5.4,4,56,253
158887,57.01667,-163.36667,1976,snow crab,male,64,6.1,-0.9,104,95033
158888,57.03333,-162.8,1976,snow crab,male,57,4.5,-0.5,66,7293
158889,57.03333,-162.18333,1976,snow crab,male,57,3,0.7,67,2153
158890,57.01667,-161.56667,1976,snow crab,male,68,4,0.3,68,3868
158891,57.01667,-160.96667,1976,snow crab,male,62,1.2,0.9,69,338
158892,56.98333,-168.3,1976,snow crab,male,84,0.9,0.3,84,165019
167891,58.01667,-170.95,1976,snow crab,female,86,6.1,0.1,122,10971
167892,58.01667,-171.58333,1976,snow crab,female,95,6.2,1.2,121,16968
167893,58,-172.08333,1976,snow crab,female,104,-0.4,0.5,83,2307
170415,56.01667,-165.16667,1976,snow crab,female,93,5,1.5,52,810
170414,56.03333,-165.78333,1976,snow crab,female,104,5.6,2.5,58,169
158873,56.7,-168.86667,1976,snow crab,male,99,7,2,112,50313
159057,57.03333,-168.93333,1976,snow crab,male,77,6.5,1,114,99923
159058,56.98333,-169.53333,1976,snow crab,male,59,6,2,115,9371
159059,57.01667,-170.15,1976,snow crab,male,64,4.8,2.5,116,20167
159060,56.98333,-170.9,1976,snow crab,male,93,6.5,2.3,117,21942
170413,56,-166.38333,1976,snow crab,female,123,8.1,3,108,253
170412,55.71667,-168.15,1976,snow crab,female,132,9.2,3.5,149,6664
159061,57,-171.41667,1976,snow crab,male,106,8.3,3.3,145,6492
159062,57.01667,-172.05,1976,snow crab,male,113,8.5,3.9,144,13672
158870,56.66667,-161.6,1976,snow crab,male,84,3.3,-0.8,44,1381
158869,56.68333,-162.18333,1976,snow crab,male,70,3.5,-1,45,19614
158868,56.68333,-162.78333,1976,snow crab,male,70,4.8,-0.6,65,24871
158867,56.7,-163.38333,1976,snow crab,male,73,5,-1,64,61744
171057,55.03333,-166.93333,1976,snow crab,female,152,6.7,4.3,130,3798
171059,55.01667,-165.15,1976,snow crab,female,106,7,4.9,185,68810
171060,55.36667,-166.35,1976,snow crab,female,128,7.7,3.2,106,6585
171061,55.36667,-165.16667,1976,snow crab,female,110,6.5,3.5,54,1140
171063,55.35,-163.41667,1976,snow crab,female,48,11.1,5.8,174,1519
171064,55.7,-167.56667,1976,snow crab,female,132,8.8,3.3,150,1671
171065,55.7,-166.96667,1976,snow crab,female,132,8.4,3.5,151,276
171066,55.66667,-166.36667,1976,snow crab,female,124,8.1,3.4,107,276
171067,55.7,-165.18333,1976,snow crab,female,106,5.4,2.3,53,21118
171070,55.68333,-162.81667,1976,snow crab,female,53,4.1,1.8,37,507
171075,56.01667,-164.58333,1976,snow crab,female,91,4.6,-0.4,51,1367
171076,56.03333,-163.98333,1976,snow crab,female,90,4.6,0.1,50,4406
168748,58.85,-175.13333,1976,snow crab,female,137,-0.7,1.6,74,104273
168747,59.01667,-174.25,1976,snow crab,female,128,1.4,1.4,141,1005
168746,59,-173.61667,1976,snow crab,female,117,1.3,0.7,139,4793
168743,58.66667,-175.46667,1976,snow crab,female,143,-0.8,2.2,75,43233
168742,58.78333,-174.6,1976,snow crab,female,148,0.2,1.1,72,5039
168741,58.66667,-173.43333,1976,snow crab,female,123,1.9,2.2,137,1525
168740,58.68333,-172.88333,1976,snow crab,female,112,1.8,0.6,136,3541
168739,58.66667,-172.28333,1976,snow crab,female,102,1.4,-0.6,134,311
158874,56.66667,-169.48333,1976,snow crab,male,77,5.4,1.5,110,42065
158875,56.7,-170.08333,1976,snow crab,male,95,4.7,2.9,111,10635
158876,56.68333,-170.75,1976,snow crab,male,112,8.1,3.5,146,7594
171077,56.01667,-162.81667,1976,snow crab,female,79,3.7,0.3,38,138
171078,56.35,-167.03333,1976,snow crab,female,112,8.5,2.3,129,456
171079,56.38333,-166.41667,1976,snow crab,female,101,7.3,1.2,109,414
171080,56.35,-165.78333,1976,snow crab,female,90,5.2,0.8,59,10483
171081,56.33333,-165.21667,1976,snow crab,female,86,5.1,0.5,60,19917
171082,56.35,-164.58333,1976,snow crab,female,84,5,-1.2,61,1519
171083,56.35,-164,1976,snow crab,female,84,5.2,-1,62,100558
171084,56.35,-163.38333,1976,snow crab,female,84,5.2,-0.5,48,5318
171085,56.35,-162.81667,1976,snow crab,female,77,4.7,-0.7,47,138
171086,56.33333,-161.61667,1976,snow crab,female,62,1,0.5,41,152
171087,56.36667,-168.23333,1976,snow crab,female,146,8.1,3.5,127,276
171088,56.35,-168.85,1976,snow crab,female,124,8.5,3.6,133,15307
171089,56.36667,-169.41667,1976,snow crab,female,137,7.7,3.6,147,1658
171090,56.31667,-170.21667,1976,snow crab,female,110,8.3,3.5,138,507
171091,56.33333,-170.66667,1976,snow crab,female,117,8.3,3.6,139,701
171097,56.68333,-164.6,1976,snow crab,female,73,6.1,-0.1,105,421566
171098,56.68333,-164.01667,1976,snow crab,female,73,5,-1,63,129630
171099,56.7,-163.38333,1976,snow crab,female,73,5,-1,64,16023
171100,56.68333,-162.78333,1976,snow crab,female,70,4.8,-0.6,65,190
171101,56.68333,-162.18333,1976,snow crab,female,70,3.5,-1,45,414
171102,56.66667,-161.6,1976,snow crab,female,84,3.3,-0.8,44,138
171103,56.66667,-160.98333,1976,snow crab,female,66,2.3,0.5,43,304
171104,56.68333,-168.26667,1976,snow crab,female,104,7.2,1.9,113,533017
171105,56.7,-168.86667,1976,snow crab,female,99,7,2,112,433866
171106,56.66667,-169.48333,1976,snow crab,female,77,5.4,1.5,110,9348
171107,56.7,-170.08333,1976,snow crab,female,95,4.7,2.9,111,8052
171108,56.68333,-170.75,1976,snow crab,female,112,8.1,3.5,146,76703
171109,56.7,-171.35,1976,snow crab,female,115,8.6,3.6,141,67545
171110,56.68333,-171.96667,1976,snow crab,female,123,8.7,3.7,142,39781
171111,56.68333,-172.56667,1976,snow crab,female,134,8.5,3.6,143,507
171112,57,-167.66667,1976,snow crab,female,79,0.2,-1.4,85,6415
171113,57,-167.03333,1976,snow crab,female,75,-0.4,-1.1,86,103255
171114,57,-166.43333,1976,snow crab,female,75,-0.5,-1.6,87,106422
171115,56.98333,-165.78333,1976,snow crab,female,73,-0.2,-1.6,88,191795
171116,57,-165.16667,1976,snow crab,female,73,0.1,-1.6,89,114516
171117,56.93333,-164.45,1976,snow crab,female,71,0.3,-1.6,90,117447
171118,57.01667,-164,1976,snow crab,female,66,5.6,0.3,103,79017
171119,57.01667,-163.36667,1976,snow crab,female,64,6.1,-0.9,104,37019
171120,57.03333,-162.8,1976,snow crab,female,57,4.5,-0.5,66,304
171121,57.03333,-162.18333,1976,snow crab,female,57,3,0.7,67,253
171122,57.01667,-161.56667,1976,snow crab,female,68,4,0.3,68,138
171123,56.98333,-168.3,1976,snow crab,female,84,0.9,0.3,84,3892
171124,57.03333,-168.93333,1976,snow crab,female,77,6.5,1,114,60089
171125,56.98333,-169.53333,1976,snow crab,female,59,6,2,115,1266
171126,57.01667,-170.15,1976,snow crab,female,64,4.8,2.5,116,276
172987,57.35,-171.45,1976,snow crab,female,99,6.7,2.1,119,1243
172986,57.35,-170.93333,1976,snow crab,female,82,6.7,2.3,118,8508
172985,57.35,-170.23333,1976,snow crab,female,53,5.7,2.9,125,1737
158185,56.38333,-166.41667,1976,snow crab,male,101,7.3,1.2,109,5111
158184,56.35,-167.03333,1976,snow crab,male,112,8.5,2.3,129,9723
171290,56.98333,-170.9,1976,snow crab,female,93,6.5,2.3,117,1013
158877,56.7,-171.35,1976,snow crab,male,115,8.6,3.6,141,4282
158878,56.68333,-171.96667,1976,snow crab,male,123,8.7,3.7,142,21963
170206,57.66667,-171.55,1976,snow crab,female,99,6,1.5,120,691
170205,57.66667,-170.88333,1976,snow crab,female,84,5.8,0.5,123,1105
170204,57.66667,-170.23333,1976,snow crab,female,71,6.4,1.2,124,124885
158856,56.35,-168.85,1976,snow crab,male,124,8.5,3.6,133,7478
158846,56.35,-165.78333,1976,snow crab,male,90,5.2,0.8,59,162259
158847,56.33333,-165.21667,1976,snow crab,male,86,5.1,0.5,60,81356
158848,56.35,-164.58333,1976,snow crab,male,84,5,-1.2,61,49865
158849,56.35,-164,1976,snow crab,male,84,5.2,-1,62,16852
158850,56.35,-163.38333,1976,snow crab,male,84,5.2,-0.5,48,7724
158851,56.35,-162.81667,1976,snow crab,male,77,4.7,-0.7,47,20719
158852,56.33333,-162.2,1976,snow crab,male,80,4.5,-0.3,46,4282
158853,56.33333,-161.61667,1976,snow crab,male,62,1,0.5,41,1367
172821,57.36667,-169.61667,1976,snow crab,female,62,4.5,0.1,126,4993
172818,57.35,-163.36667,1976,snow crab,female,51,4,0.2,101,456
172817,57.35,-163.98333,1976,snow crab,female,60,5.7,0.2,102,49663
172810,57.01667,-172.05,1976,snow crab,female,113,8.5,3.9,144,675
172809,57,-171.41667,1976,snow crab,female,106,8.3,3.3,145,503468
158854,56.33333,-161,1976,snow crab,male,53,1,0.7,42,691
158182,56.03333,-162.21667,1976,snow crab,male,70,3.4,-0.4,39,5064
158181,56.01667,-162.81667,1976,snow crab,male,79,3.7,0.3,38,3315
158180,56.03333,-163.4,1976,snow crab,male,86,5.2,-0.2,49,3389
158179,56.03333,-163.98333,1976,snow crab,male,90,4.6,0.1,50,9116
158178,56.01667,-164.58333,1976,snow crab,male,91,4.6,-0.4,51,4862
158177,56.01667,-165.16667,1976,snow crab,male,93,5,1.5,52,5064
158176,56.03333,-165.78333,1976,snow crab,male,104,5.6,2.5,58,5232
158855,56.36667,-168.23333,1976,snow crab,male,146,8.1,3.5,127,36466
146134,57.66667,-171.55,1976,snow crab,male,99,6,1.5,120,15332
146133,57.66667,-170.88333,1976,snow crab,male,84,5.8,0.5,123,29974
146132,57.66667,-170.23333,1976,snow crab,male,71,6.4,1.2,124,31601
146131,57.66667,-169.56667,1976,snow crab,male,71,1.2,1.7,125,17974
146128,57.68333,-163.35,1976,snow crab,male,44,4.5,2.4,100,127
146127,57.68333,-164.01667,1976,snow crab,male,48,4.3,2.3,99,2786
146120,57.35,-171.45,1976,snow crab,male,99,6.7,2.1,119,21410
146119,57.35,-170.93333,1976,snow crab,male,82,6.7,2.3,118,14281
146118,57.35,-170.23333,1976,snow crab,male,53,5.7,2.9,125,651
146117,57.36667,-169.61667,1976,snow crab,male,62,4.5,0.1,126,28658
146114,57.35,-160.31667,1976,snow crab,male,59,1.5,1.2,71,127
146113,57.35,-163.36667,1976,snow crab,male,51,4,0.2,101,10939
146112,57.35,-163.98333,1976,snow crab,male,60,5.7,0.2,102,159264
146924,58.85,-175.13333,1976,snow crab,male,137,-0.7,1.6,74,11403
146923,59.01667,-174.25,1976,snow crab,male,128,1.4,1.4,141,11060
146922,59,-173.61667,1976,snow crab,male,117,1.3,0.7,139,9877
146918,58.66667,-175.46667,1976,snow crab,male,143,-0.8,2.2,75,9742
146917,58.71667,-174.66667,1976,snow crab,male,166,0.3,2.2,73,16342
146916,58.78333,-174.6,1976,snow crab,male,148,0.2,1.1,72,18657
146915,58.66667,-173.43333,1976,snow crab,male,123,1.9,2.2,137,14525
146914,58.68333,-172.88333,1976,snow crab,male,112,1.8,0.6,136,7900
146913,58.66667,-172.28333,1976,snow crab,male,102,1.4,-0.6,134,545
146910,58.66667,-170.38333,1976,snow crab,male,73,0.5,1.7,143,218721
146908,58.68333,-169.15,1976,snow crab,male,62,1.1,1.7,145,124339
