featurecla,name,namealt,changed,note,name_fr,min_label,max_label,scalerank,label,wikidataid,name_ar,name_bn,name_de,name_en,name_es,name_el,name_hi,name_hu,name_id,name_it,name_ja,name_ko,name_nl,name_pl,name_pt,name_ru,name_sv,name_tr,name_vi,name_zh,ne_id,name_fa,name_he,name_uk,name_ur,name_zht,oceanbasin,subbasin
fjord,Vestfjorden,,Version 1.4,,Vestfjord,6.0,10.0,5,Vestfjorden,Q1753121,┘à╪╢┘è┘é ┘ü╪│╪¬┘ü╪¼┘ê╪▒╪»┘è┘å,αª¡αºçαª╕αºìαªƒαª½αª£αª░αºìαªíαºçαª¿,Vestfjord,Vestfjorden,Vestfjorden,╬Æ╬╡╧â╧ä╧å╬╣╧î╧ü╬┤╬╡╬╜,αñ╡αÑçαñ╕αÑìαññαÑìαñ½αÑìαñ£αÑïαñ░αÑìαñªαÑçαñ¿,Vestfjorden,Vestfjorden,Vestfjorden,πâÖπé╣πâêπâòπéúπâ¿πâ½πâçπâ│,δ▓á∞èñφè╕φö╝∞ÜöδÑ┤δì┤,Vestfjorden,Vestfjorden,Vestfjord,╨Æ╨╡╤ü╤é╤ä╤î╨╛╤Ç╨┤,Vestfjorden,Vestfjorden,Vestfjorden,Φ┤╣µû»τë╣σ│íµ╣╛,1159117697,┘ê╪│╪¬┘ü█î┘ê╪▒╪»┘å,╫ò╫ò╫í╫ÿ╫ñ╫Ö╫ò╫¿╫ô,╨Æ╨╡╤ü╤é╤ä╤û╨╛╤Ç╨┤,┘ê█î╪│┘╣╪¼┘ê╪▒┌ê┘å,Φ▓╗µû»τë╣σ│╜τüú,Arctic Ocean,Norwegian Sea
fjord,Skagerrak,,Version 1.4,,Skagerrak,6.0,10.0,5,Skagerrak,Q1695,╪│┘â╪º╪║┘è╪▒╪º┘â,αª╕αºìαªòαª╛αªùαºçαª░αª╛αªò,Skagerrak,Skagerrak,Skagerrak,╬ú╬║╬¼╬│╬║╬╡╧ü╬▒╬║,αñ╢αÑìαñòαñ╛αñùαÑçαñ░αñò,Skagerrak,Skagerrak,Skagerrak,πé╣πé½πé▓πâ⌐πé»µ╡╖σ│í,∞èñ∞╣┤Ω▓îδ¥╝φü¼ φò┤φÿæ,Skagerrak,Skagerrak,Skagerrak,╨í╨║╨░╨│╨╡╤Ç╤Ç╨░╨║,Skagerrak,Skagerrak,Skagerrak,µû»σìíµá╝µïëσàïµ╡╖σ│í,1159117723,╪º╪│┌⌐╪º┌ÿ╪▒╪º┌⌐,╫í╫º╫É╫Æ╫¿╫º,╨í╨║╨░╨│╨╡╤Ç╤Ç╨░╨║,╪º█î╪│┌⌐╪º┌»█î╪▒╪º┌⌐,µû»σìíµá╝µïëσàïµ╡╖σ│í,North Atlantic Ocean,Skagerrak
strait,Vil'kitskogo Strait,,Version 1.4,,D├⌐troit de Vil'kitskogo,5.7,10.0,5,Vil'kitskogo Strait,,┘à╪╢┘è┘é ┘ü┘è┘ä┘â┘è╪¬╪│┘â┘è,αª¡αª┐αª▓αªòαª┐αªƒαª╕αªòαªùαºï αª¬αºìαª░αªúαª╛αª▓αºÇ,Wilkizkistra├ƒe,Vilkitsky Strait,Estrecho Vil'kitskogo,╬ú╧ä╬╡╬╜╧î ╬Æ╬╣╬╗'╬║╬╣╧ä╧â╬║╬┐╬│╬║╬┐,αñ╡αñ┐αñ▓αñòαñ┐αñƒαÑìαñ╕αñòαÑïαñùαÑï αñ£αñ▓αñíαñ«αñ░αÑéαñ«αñºαÑìαñ»,Vil'kitskogo-szoros,Selat Vil'kitskogo,Stretto di Vil'kickij,πâ┤πéúπâ¬πé¡πâäπé¡πâ╝µ╡╖σ│í,δ╣îφéñ∞╕á∞èñ∞╜öΩ│á ∞èñφè╕δáê∞¥┤φè╕,Vilanu,Cie┼¢nina Wilkickiego,Estreito de Vilkitsky,╨┐╤Ç╨╛╨╗╨╕╨▓ ╨Æ╨╕╨╗╤î╨║╨╕╤å╨║╨╛╨│╨╛,Vilkitskijsundet,Vil'kitskogo Bo─ƒaz─▒,Eo biß╗ân Vil'kitskogo,τ╗┤σ░öσƒ║Φî¿τºæµêêµ╡╖σ│í,1159117771,╪¬┘å┌»┘ç ┘ê█î┘ä ┌⌐█î╪¬╪│┌⌐┘ê┌»┘ê,╫₧╫Ö╫ª╫¿ ╫ò╫Ö╫£╫º╫Ö╫ª╫º╫ò╫Æ╫ò,╨Æ╤û╨╗╨║╤û╤å╤î╨║╨░ ╨┐╤Ç╨╛╤é╨╛╨║╨░,┘ê┘ä ┌⌐┘╣╪│┌⌐┘ê┌»┘ê ╪º╪│┘╣╪▒█î┘╣,τ╢¡τê╛Φî▓µû»τºæµêêµ╡╖σ│╜,Arctic Ocean,Kara Sea
fjord,Sognefjorden,,Version 1.4,,Sognefjord,7.6,10.0,7,Sognefjorden,Q208495,╪│┘ê╪¼┘å┘è┘ü╪¼┘ê╪▒╪»┘è┘å,αª╕αªùαª¿αºçαª½αª£αª░αºìαªíαºçαª¿,Sognefjord,Sognefjord,Fiordo de Sogn,╬ú╬┐╬│╬║╬╜╬╡╧å╬╣╧î╧ü╬╜╧ä╬╡╬╜,αñ╕αÑïαñùαñ¿αÑçαñ½αÑìαñ£αÑïαñ░αÑìαñíαñ¿,Sogne-fjord,Sognefjorden,Sognefjord,πé╜πé░πâìπâ╗πâòπéúπâ¿πâ½πâë,∞åíδäñ φö╝∞ÿñδÑ┤,Sognefjord,Sognefjord,Fiorde de Sogn,╨í╨╛╨│╨╜╨╡-╤ä╤î╨╛╤Ç╨┤,Sognefjorden,Sogne Fiyordu,Sognefjorden,µ¥╛µü⌐σ│íµ╣╛,1159117781,╪│┘ê┌»┘å┘ü█î┘ê╪▒╪»┘å,╫í╫ò╫Æ╫á╫ö-╫ñ╫Ö╫ò╫¿╫ô,╨í╨╛╨│╨╜╨╡╤ä╤û╨╛╤Ç╨┤,╪│┘ê┌»┘å█î┘ü┘ê╪▒┌ê█î┘å,µ¥╛µü⌐σ│╜τüú,Arctic Ocean,Norwegian Sea
fjord,Trondheimsfjorden,,Version 1.4,,Trondheimsfjord,7.6,10.0,7,Trondheimsfjorden,Q279579,┘à╪╢┘è┘é ╪¬╪▒┘ê┘å╪»┘ç╪º┘è┘à╪▓┘ü┘è┘ê╪▒╪»┘å,αªƒαºìαª░αª¿αºìαªíαª╣αºçαª«αª╕αª½αª£αª░αºìαªíαºçαª¿,Trondheimfjord,Trondheimsfjord,Fiordo de Trondheim,╬ñ╧ü╬┐╬╜╧ä╧ç╬▒╧è╬╝╧â╧å╬╣╧î╧ü╬┤╬╡╬╜,αñƒαÑìαñ░αÑëαñ¿αñ╣αÑêαñ«αÑìαñ╕αñ½αñ£αÑëαñ░αÑìαñíαñ¿,Trondheim-fjord,Trondheimsfjorden,Trondheimsfjord,πâêπâ¡πâ│πâÅπéñπâáπâ╗πâòπéúπâ¿πâ½πâë,φè╕δíáφùñ∞₧ä∞èñφö╝∞ÜöδÑ┤δì┤,Trondheimfjord,Trondheimsfjorden,Fiorde de Trondheim,╨ó╤Ç╨╛╨╜╤à╨╡╨╣╨╝╤ü-╤ä╤î╨╛╤Ç╨┤,Trondheimsfjorden,Trondheimsfjorden,Vß╗ïnh Trondheimsfjorden,τë╣ΘÜåΦ╡½σºåσ│íµ╣╛,1159117797,╪¬╪▒┘ê┘å╪»┘ç█î┘à╪│┘ü█î┘ê╪▒╪»┘å,╫ñ╫Ö╫ò╫¿╫ô ╫ÿ╫¿╫ò╫á╫ô╫ö╫Ö╫Ö╫¥,╨ó╤î╨╛╤Ç╨┤╤à╨╡╨╣╤ü╤î╨║╨╕╨╣ ╤ä╤î╨╛╤Ç╨┤,┘╣╪▒┘ê┘å┌ê█ü╪º╪ª┘à╪│┘ü┘ê╪▒╪»█î┘å,τë╣ΘÜåΦ╡½σºåσ│╜τüú,Arctic Ocean,Norwegian Sea
gulf,Gulf of Khambh├ñt,,,,Golfe de Cambay,6.0,10.0,5,Gulf of Khambh├ñt,Q654010,╪«┘ä┘è╪¼ ┘â┘à╪¿╪º╪¬,αªûαª╛αª«αºìαª¼αª╛αºÄ αªëαª¬αª╕αª╛αªùαª░,Golf von Khambhat,Gulf of Khambhat,Golfo de Khambhat,╬Ü╧î╬╗╧Ç╬┐╧é ╧ä╬┐╧à ╬Ü╬▒╬╝╧Ç╬¼╧ä,αñûαñéαñ¡αñ╛αññ αñòαÑÇ αñûαñ╛αñíαñ╝αÑÇ,Khambh├ñt-├╢b├╢l,Teluk Khambhat,Golfo di Khambhat,πé½πâ│πâÉπâ╝πâêµ╣╛,∞║äδ░öφè╕δºî,Golf van Khambhat,Zatoka Kambajska,Golfo de Cambaia,╨Ü╨░╨╝╨▒╨╡╨╣╤ü╨║╨╕╨╣ ╨╖╨░╨╗╨╕╨▓,Cambaybukten,Kambay K├╢rfezi,Vß╗ïnh Khambhat,σ¥ÄΦ┤¥µ╣╛,1159117827,╪«┘ä█î╪¼ ╪«╪º┘à╪¿╪º╪¬,╫₧╫ñ╫¿╫Ñ ╫ù╫₧╫æ╫ÿ,╨Ü╨░╨╝╨▒╨╡╨╣╤ü╤î╨║╨░ ╨╖╨░╤é╨╛╨║╨░,╪«┘ä█î╪¼ ┌⌐┌╛┘à╪¿╪º╪¬,σ¥ÄΦ▓¥τüú,Indian Ocean,Arabian Sea
strait,Palk Strait,,Version 5.2,,d├⌐troit de Palk,7.6,10.0,7,Palk Strait,Q186299,┘à╪╢┘è┘é ╪¿╪º┘ä┘â,αª¬αªò αª¬αºìαª░αªúαª╛αª▓αºÇ,Palkstra├ƒe,Palk Strait,Estrecho de Palk,╬ú╧ä╬╡╬╜╧î ╬á╬▒╬╗╬║,αñ¬αñ╛αñò αñ£αñ▓αñíαñ«αñ░αÑéαñ«αñºαÑìαñ»,Palk-szoros,Selat Palk,Stretto di Palk,πâ¥πâ╝πé»µ╡╖σ│í,φÅ¼φü¼ φò┤φÿæ,Straat Palk,Cie┼¢nina Palk,Estreito de Palk,╨ƒ╨╛╨╗╨║╤ü╨║╨╕╨╣ ╨┐╤Ç╨╛╨╗╨╕╨▓,Palksundet,Palk Bo─ƒaz─▒,Eo biß╗ân Palk,Σ┐¥σàïµ╡╖σ│í,1159117845,╪¬┘å┌»┘ç ┘╛╪º┘ä┌⌐,╫₧╫ª╫¿ ╫ñ╫£╫º,╨ƒ╨╛╨╗╨║╤ü╤î╨║╨░ ╨┐╤Ç╨╛╤é╨╛╨║╨░,╪ó╪¿┘å╪º╪ª█Æ ┘╛╪º┘ä┌⌐,Σ┐¥σàïµ╡╖σ│╜,Indian Ocean,Palk Strait
gulf,Kronotskiy Gulf,,Version 1.4,,baie Kronotski,6.0,10.0,5,Kronotskiy Gulf,Q2326240,╪«┘ä┘è╪¼ ┘â╪▒┘ê┘å┘ê╪¬╪│┘â┘è,αªòαºìαª░αºïαª¿αºïαªñαª╕αºìαªòαª┐ αªùαª╛αª▓αª½,Golf von Kronotsky,Kronotsky Gulf,Golfo Kronotskiy,╬Ü╧î╬╗╧Ç╬┐╧é ╬Ü╧ü╬┐╬╜╧î╧ä╧â╬║╬╣╬╣,αñòαÑìαñ░αÑïαñ¿αÑïαñƒαÑìαñ╕αÑìαñòαÑÇ αñûαñ╛αñíαñ╝αÑÇ,Kronotszkij-├╢b├╢l,Teluk Kronotskiy,Golfo Kronockij,πé»πâ¡πâÄπâäπé¡πâ╝µ╣╛,φü¼δí£δà╕∞╕áφéñ Ω▒╕φöä,Kronotskigolf,Zatoka Kronocka,Golfo de Kronotsky,╨Ü╤Ç╨╛╨╜╨╛╤å╨║╨╕╨╣ ╨╖╨░╨╗╨╕╨▓,Kronotskijbukten,Kronotskiy K├╢rfezi,Vß╗ïnh Kronotskiy,σàïτ╜ùΦ»║Φî¿σƒ║µ╣╛,1159117867,╪«┘ä█î╪¼ ┌⌐╪▒┘ê┘å╪¬┘ê╪│┌⌐█î,╫₧╫ñ╫¿╫Ñ ╫º╫¿╫ò╫á╫ò╫ª╫º╫Ö,╨Ü╤Ç╨╛╨╜╨╛╤å╤î╨║╨░ ╨╖╨░╤é╨╛╨║╨░,┌⌐╪▒┘ê┘å┘ê┘╣╪│┌⌐█î ┌»┘ä┘ü,σàïτ╛àΦ½╛µ¼íσƒ║τüú,North Pacific Ocean,North Pacific Ocean
bay,Uchiura Bay,,Version 1.4,,Baie d'Uchiura,6.0,10.0,5,Uchiura Bay,Q1036267,╪«┘ä┘è╪¼ ╪ú┘ê╪¬╪┤┘è┘ê╪▒╪º,αªëαªÜαª┐αªëαª░αª╛ αª¼αºç,Uchiura-Bucht,Uchiura Bay,Bah├¡a de Uchiura,╬Ü╧î╬╗╧Ç╬┐╧é ╬ƒ╧à╧ä╧â╬╣╬┐╧ì╧ü╬▒,αñëαñÜαñ┐αñëαñ░αñ╛ αñ¼αÑç,Uchiura-├╢b├╢l,Teluk Uchiura,Baia di Uchiura,σåàµ╡ªµ╣╛,∞Ü░∞╣ÿ∞Ü░δ¥╝δºî,Uchiura Bay,Zatoka Uchiura,Ba├¡a de Uchiura,╨ú╤é╨╕╤â╤Ç╨░,Uchiuraviken,Uchiura Koyu,Vß╗ïnh Uchiura,σåàµ╡ªµ╣╛,1159117901,╪«┘ä█î╪¼ ╪º┘ê┌å█î┘ê╪▒╪º,╫₧╫ñ╫¿╫Ñ ╫É╫ò╫ª'╫Ö╫ò╫¿╫ö,╨ú╤ç╨╕╨╣╤Ç╨░-╨æ╨╡╨╣,╪º┘ê┌å█î┘ê╪▒╪º ╪¿█Æ,σàºµ╡ªτüú,North Pacific Ocean,North Pacific Ocean
strait,Tsugaru Strait,,Version 1.4,,d├⌐troit de Tsugaru,7.6,10.0,7,Tsugaru Strait,Q271521,┘à╪╢┘è┘é ╪¬╪│┘ê╪¼╪º╪▒┘ê,αª╕αºüαªùαª╛αª░αºü αª¬αºìαª░αªúαª╛αª▓αºÇ,Tsugaru-Stra├ƒe,Tsugaru Strait,Estrecho de Tsugaru,╬á╬┐╧ü╬╕╬╝╧î╧é ╬ñ╧â╬┐╧à╬│╬║╬¼╧ü╬┐╧à,αñ╕αÑüαñùαñ╛αñ░αÑü αñ£αñ▓αñ╕αñ¿αÑìαñºαñ┐,Cugaru-csatorna,Selat Tsugaru,Stretto di Tsugaru,µ┤ÑΦ╗╜µ╡╖σ│í,∞ô░Ω░Çδú¿ φò┤φÿæ,Straat Tsugaru,Cie┼¢nina Tsugaru,Estreito de Tsugaru,╨í╨░╨╜╨│╨░╤Ç╤ü╨║╨╕╨╣ ╨┐╤Ç╨╛╨╗╨╕╨▓,Tsugarusundet,Tsugaru Bo─ƒaz─▒,Eo biß╗ân Tsugaru,µ┤ÑΦ╜╗µ╡╖σ│í,1159117919,╪¬╪│┘ê┌»╪º╪▒┘ê,╫₧╫ª╫¿ ╫ª╫ò╫Æ╫¿╫ò,╨ƒ╤Ç╨╛╤é╨╛╨║╨░ ╨ª╤â╥æ╨░╤Ç╤â,╪│┘ê┌»╪º╪▒┘ê ╪º╪│┘╣╪▒█î┘╣,µ┤ÑΦ╝òµ╡╖σ│╜,North Pacific Ocean,North Pacific Ocean
bay,Shark Bay,,Version 1.4,,baie Shark,6.0,10.0,5,Shark Bay,Q217487,╪«┘ä┘è╪¼ ╪º┘ä┘é╪▒╪┤,αª╢αª╛αª░αºìαªò αª¼αºç,Shark Bay,Shark Bay,Bah├¡a Shark,╬Ü╧î╬╗╧Ç╬┐╧é ╧ä╧ë╬╜ ╬║╬▒╧ü╧ç╬▒╧ü╬╣╧Ä╬╜,αñ╢αñ╛αñ░αÑìαñò αñ¼αÑç,Shark-├╢b├╢l,Teluk Shark,Shark Bay,πé╖πâúπâ╝πé»µ╣╛,∞âñφü¼ δ▓á∞¥┤,Shark Bay,Zatoka Rekina,Ba├¡a Shark,╨¿╨░╤Ç╨║,Shark Bay,Shark Bay,Vß╗ïnh Shark,Θ▓¿Θ▒╝µ╣╛,1159117955,╪«┘ä█î╪¼ ┌⌐┘ê╪│┘ç,╫₧╫ñ╫¿╫Ñ ╫ö╫¢╫¿╫Ö╫⌐╫Ö╫¥,╨¿╨░╤Ç╨║,╪┤╪º╪▒┌⌐ ╪¿█Æ,Θ»èΘ¡Üτüú,Indian Ocean,INDIAN OCEAN
bay,Mackenzie Bay,,Version 1.4,,baie Mackenzie,6.0,10.0,5,Mackenzie Bay,Q4275770,╪«┘ä┘è╪¼ ┘à╪º┘â┘å╪▓┘è,αª«αºìαª»αª╛αªòαºçαª₧αºìαª£αª┐ αª¼αºç,Mackenzie Bay,Mackenzie Bay,Bah├¡a Mackenzie,╬Ü╧î╬╗╧Ç╬┐╧é ╬£╬▒╬║╬¡╬╜╬╢╬╣,αñ«αÑêαñòαÑçαñéαñ£αñ╝αÑÇ αñûαñ╛αÑ£αÑÇ,Mackenzie-├╢b├╢l,Teluk Mackenzie,Baia Di Mackenzie,πâ₧πââπé▒πâ│πé╕πâ╝µ╣╛,δºñ∞╝ä∞ºÇ δ▓á∞¥┤,Mackenzie Bay,Zatoka Mackenzie,Ba├¡a de Mackenzie,╨£╨░╨║╨║╨╡╨╜╨╖╨╕,Mackenzie Bay,Mackenzie Koyu,Vß╗ïnh Mackenzie,Θ║ªΦé»Θ╜Éµ╣╛,1159117989,╪«┘ä█î╪¼ ┘à┌⌐┘å╪▓█î,╫¿╫¢╫í ╫₧╫º'╫º╫á╫û╫Ö,╨£╨░╨║╨║╨╡╨╜╨╖╤û-╨æ╨╡╨╣,┘à█î┌⌐█î┘å╪▓█î ╪¿█Æ,Θª¼Φé»σÉëµ▓│τüú,Arctic Ocean,Beaufort Sea
sound,Norton Sound,,Version 1.4,,Norton Sound,6.0,10.0,5,Norton Sound,Q1973692,┘å┘ê╪▒╪¬┘ê┘å ╪│╪º┘ê┘å╪»,αª¿αª░αºìαªƒαª¿ αª╕αª╛αªëαª¿αºìαªí,Norton-Sund,Norton Sound,Norton Sound,╬¥╧î╧ä╬╣╬┐╧é ╬á╬┐╧ü╬╕╬╝╧î╧é,αñ¿αÑëαñ░αÑìαñƒαñ¿ αñ╕αñ╛αñëαñéαñí,Norton-szoros,Selat Norton,Norton Sound,πâÄπâ╝πâêπâ│µ╣╛,δà╕φä┤ ∞é¼∞Ü┤δô£,Norton Sound,Norton Sound,Norton Sound,╨¥╨╛╤Ç╤é╨╛╨╜-╨í╨░╤â╨╜╨┤,Norton Sound,Norton Sound,Eo biß╗ân Norton,Φ»║Θí┐µ╣╛,1159118005,╪»╪▒█î╪º╪▒╪º┘ç ┘å┘ê╪▒╪¬┘ê┘å,╫₧╫Ö╫ª╫¿ ╫á╫ò╫¿╫ÿ╫ò╫ƒ,╨╖╨░╤é╨╛╨║╨░ ╨¥╨╛╤Ç╤é╨╛╨╜,┘å╪º╪▒┘╣┘ê┘å ╪│╪º╪ñ┘å┌ê,Φ½╛Θáôτüú,North Pacific Ocean,Bering Sea
sound,Kotzebue Sound,,Version 1.4,,Golfe de Kotzebue,6.0,10.0,5,Kotzebue Sound,Q943234,┘â┘ê╪¬╪▓┘ê╪¿┘ê╪º┘è ╪│╪º┘ê┘å╪»,αªòαºïαªñαª£αºçαª¼αºüαªç αª╕αª╛αªëαª¿αºìαªí,Kotzebue-Sund,Kotzebue Sound,Kotzebue Sound,╬á╬┐╧ü╬╕╬╝╧î╧é ╬Ü╬┐╧ä╬╢╬¡╬╝╧Ç╬┐╧à╬╡,αñòαÑïαñƒαñ£αÑçαñ¼αÑìαñ»αÑé αñ╕αñ╛αñëαñéαñí,Kotzebue-szoros,Selat Kotzebue,Kotzebue Sound,πé│πââπâäπâôπâÑπâ╝πâ╗πé╡πéªπâ│πâë,∞╜ö∞▓┤δ╢Ç ∞é¼∞Ü┤δô£,Kotzebue Sound,Zatoka Kotzebuego,Golfo de Kotzebue,╨Ü╨╛╤å╨╡╨▒╤â,Kotzebuesundet,Kotzebue Sound,Eo biß╗ân Kotzebue,τºæτ¡ûσ╕âµ╡╖µ╣╛,1159118029,╪»╪▒█î╪º╪▒╪º┘ç ┌⌐┘ê╪¬╪▓╪¿┘ê,╫₧╫Ö╫ª╫¿ ╫º╫ò╓╣╫ª╓╢╫æ╓╝╫ò╓╝,╨Ü╨╛╤å╨╡╨▒╤â,┌⌐┘ê┘╣╪▓█î╪¿┘ê ╪│╪º╪ñ┘å┌ê,τºæτ¡ûσ╕âµ╡╖τüú,Arctic Ocean,Chukchi Sea
gulf,Gulf of Boothia,,Version 5.2,,golfe de Boothia,5.7,10.0,5,Gulf of Boothia,Q919520,╪«┘ä┘è╪¼ ╪¿┘ê╪¬┘è╪º,αªùαª╛αª▓αª½ αªàαª½ αª¼αºüαªÑαª┐αºƒαª╛,Golf von Boothia,Gulf of Boothia,Golfo de Boothia,╬Ü╧î╬╗╧Ç╬┐╧é ╧ä╬┐╧à ╬£╧Ç╬┐╧ì╬╕╬╣╬▒,αñ¼αÑéαñÑαñ┐αñ»αñ╛ αñòαÑÇ αñûαñ╛αñíαñ╝αÑÇ,Boothia-├╢b├╢l,Teluk Boothia,Golfo di Boothia,πâûπâ╝πé╖πéóµ╣╛,Ω▒╕φöä ∞ÿñδ╕î δ╢Çφï░∞òä,Gulf of Boothia,Boothia,Golfo de Boothia,╨æ╤â╤é╨╕╤Å,Boothiaviken,Boothia K├╢rfezi,Vß╗ïnh Boothia,σ╕âΦÑ┐Σ║₧τüú,1159118085,╪«┘ä█î╪¼ ╪¿┘ê╪¬█î╪º,╫₧╫ñ╫¿╫Ñ ╫æ╫ò╫¬'╫Ö╫ö,╨æ╤â╤é╤û╤Å,┌»┘ä┘ü ╪ó┘ü ╪¿┘ê╪¬┌╛█î╪º,σ╕âΦÑ┐Σ║₧τüú,Arctic Ocean,The North Western Passages
bay,Kane Basin,,Version 1.4,,Bassin Kane,5.7,10.0,5,Kane Basin,Q1510928,╪¡┘ê╪╢ ┘â┘è┘å,αªòαºçαª¿ αª¼αºçαª╕αª┐αª¿,Kane Basin,Kane Basin,Cuenca Kane,╬Ü╬¡╬╣╬╜ ╬£╧Ç╬¼╧â╬╣╬╜,αñòαÑçαñ¿ αñ¼αÑçαñ╕αñ┐αñ¿,Kane-medence,Kane Basin,Baia di Kane,πé▒πâ╝πâ│µ╡╖τ¢å,∞╝Ç∞¥╕ δ▓á∞¥┤∞ïá,Kane Basin,Basen Kane'a,Bacia de Kane,╨æ╨░╤ü╤ü╨╡╨╣╨╜ ╨Ü╨╡╨╣╨╜╨░,Kane Basin,Kane Havzas─▒,bß╗ôn ─æß╗ïa Kane,σç»µü⌐µ╣╛,1159118099,╪¡┘ê╪▓┘ç ┌⌐█î┘å,╫É╫Æ╫ƒ ╫º╫Ö╫Ö╫ƒ,╨æ╨░╤ü╨╡╨╣╨╜ ╨Ü╨╡╨╣╨╜╨░,┌⌐█î┘å ╪¿█î╪│┘å,σç▒µü⌐τüú,Arctic Ocean,Baffin Bay
gulf,Golfo de Tehuantepec,,Version 1.4,,Golfe de Tehuantepec,6.0,10.0,5,Golfo de Tehuantepec,Q2272405,╪«┘ä┘è╪¼ ╪¬┘è┘ç┘ê╪º┘å╪¬╪¿┘è┘â,αªùαºïαª▓αª½αºï αªªαºç αªñαºçαª╣αºüαª╛αª¿αºìαªñαºçαª¬αºçαªò,Golfo de Tehuantepec,Gulf of Tehuantepec,Golfo de Tehuantepec,╬ô╬║╧î╬╗╧å╬┐ ╬╜╧ä╬╡ ╬ñ╬╡╧ç╬┐╧à╬▒╬╜╧ä╬╡╧Ç╬¡╬║,αñùαÑïαñ▓αÑìαñ½αÑï αñíαÑç αñƒαñ┐αñ╣αÑîαñéαñƒαÑçαñ¬αñò,Tehuantepeci-├╢b├╢l,Teluk Tehuantepec,Golfo di Tehuantepec,πâåπâ»πâ│πâåπâÜπé»µ╣╛,Ω│¿φÅ¼ δì░ φàî∞Ü░∞òêφàîφÄÖ,Golf van Tehuantepec,Tehuantepec,Golfo de Tehuantepec,╨ó╨╡╤â╨░╨╜╤é╨╡╨┐╨╡╨║,Golfo de Tehuantepec,Golfo de Tehuantepec,Vß╗ïnh Tehuantepec,τë╣ΦÉ¼τë╣Σ╜⌐σàïτüú,1159118133,╪«┘ä█î╪¼ ╪¬┘ç┘ê┘å╪¬╪º┘╛┌⌐,╫₧╫ñ╫¿╫Ñ ╫ÿ╫ö╫ò╫É╫á╫ÿ╫ñ╫º,╨ó╨╡╤â╨░╨╜╤é╨╡╨┐╨╡╨║,┌»╪º┘ä┘ü┘ê ┌ê█î ┘╣█î█ü┘ê╪º┘å┘╣█î┘╛█î┌⌐,τë╣ΦÉ¼τë╣Σ╜⌐σàïτüú,North Pacific Ocean,North Pacific Ocean
gulf,Golfo de Guayaquil,,Version 1.4,,Golfe de Guayaquil,6.0,10.0,5,Golfo de Guayaquil,Q1138929,╪«┘ä┘è╪¼ ╪║┘ê╪º┘è╪º┘â┘ê┘è┘ä,αªùαºïαª▓αª½αºï αªªαºç αªùαºüαºƒαª╛αªçαºƒαª╛αªòαºüαªçαª▓,Golf von Guayaquil,Gulf of Guayaquil,Golfo de Guayaquil,╬ô╬║╧î╬╗╧å╬┐ ╬╜╧ä╬╡ ╬ô╬║╬┐╧à╬▒╬│╬╣╬▒╬║╬»╬╗,αñùαÑïαñ▓αÑìαñ½αÑï αñíαÑç αñùαÑìαñ╡αñ╛αñ»αñ╛αñòαñ┐αñ▓,Guyaquil-├╢b├╢l,Teluk Guayaquil,golfo di Guayaquil,πé░πéóπâñπé¡πâ½µ╣╛,Ω│╝∞ò╝φé¼δºî,Gulf of Guayaquil,Zatoka Guayaquil,Golfo de Guayaquil,╨ô╤â╨░╤Å╨║╨╕╨╗╤î,Golfo de Guayaquil,Golfo de Guayaquil,Vß╗ïnh Guayaquil,τô£Σ║Üσƒ║σ░öµ╣╛,1159118151,╪«┘ä█î╪¼ ┌»┘ê╪º█î╪º┌⌐┘ê╪ª█î┘ä,╫₧╫ñ╫¿╫Ñ ╫Æ╫ò╫É╫Ö╫É╫º╫Ö╫£,╥É╤â╨░╤Å╨║╤û╨╗╤î,┌»╪º┘ä┘ü┘ê ┌ê█î ┌»╪º█î╪º┘é┘ê╪ª┘ä,τô£Σ║₧σƒ║τê╛τüú,South Pacific Ocean,South Pacific Ocean
gulf,Gulf of Masira,,Version 1.4,,Golfe de Masira,6.0,10.0,5,Gulf of Masira,,╪«┘ä┘è╪¼ ┘à╪╡┘è╪▒╪⌐,αªùαª╛αª▓αª½ αªàαª½ αª«αª╛αª╕αª┐αª░αª╛,Golf von Masira,Gulf of Masirah,Golfo de Masira,╬Ü╧î╬╗╧Ç╬┐╧é ╧ä╬╖╧é ╬£╬▒╧â╬»╧ü╬▒,αñ«αñ╛αñ╕αÑÇαñ░αñ╛ αñòαÑÇ αñûαñ╛αñíαñ╝αÑÇ,Masira-├╢b├╢l,Teluk Masira,Golfo di Masira,πâ₧πé╖πâ⌐µ╣╛,Ω▒╕φöä ∞ÿñδ╕î δºê∞ï£δ¥╝,Golf van Masirah,Zatoka Masira,Golfo de Maceira,╨╖╨░╨╗╨╕╨▓ ╨£╨░╤ü╨╕╤Ç╨░,Masirabukten,Masira K├╢rfezi,Vß╗ïnh Masira,Θ⌐¼ΦÑ┐µïëµ╣╛,1159118175,╪«┘ä█î╪¼ ┘à╪│█î╪▒╪º,╫₧╫ñ╫¿╫Ñ ╫₧╫É╫í╫Ö╫¿╫ö,╨╖╨░╤é╨╛╨║╨░ ╨£╨░╤ü╤û╤Ç╨░,┌»┘ä┘ü ╪ó┘ü ┘à╪º╪│█î╪▒█ü,Θª¼ΦÑ┐µïëτüú,Indian Ocean,Arabian Sea
